Eps;Iterations;Root;LastStep
0.1;1;0.4326628926220355;0.01733710737796351
0.07943282347242814;1;0.4326628926220355;0.01733710737796351
0.06309573444801933;1;0.4326628926220355;0.01733710737796351
0.05011872336272722;1;0.4326628926220355;0.01733710737796351
0.03981071705534973;1;0.4326628926220355;0.01733710737796351
0.03162277660168379;1;0.4326628926220355;0.01733710737796351
0.02511886431509579;1;0.4326628926220355;0.01733710737796351
0.0199526231496888;1;0.4326628926220355;0.01733710737796351
0.01584893192461113;2;0.440159029512694;0.007496136890658478
0.01258925411794167;2;0.440159029512694;0.007496136890658478
0.01;2;0.440159029512694;0.007496136890658478
0.007943282347242821;2;0.440159029512694;0.007496136890658478
0.00630957344480193;3;0.4369349281973876;0.003224101315306427
0.005011872336272725;3;0.4369349281973876;0.003224101315306427
0.003981071705534973;3;0.4369349281973876;0.003224101315306427
0.003162277660168379;4;0.4383248812746392;0.001389953077251649
0.002511886431509579;4;0.4383248812746392;0.001389953077251649
0.001995262314968879;4;0.4383248812746392;0.001389953077251649
0.001584893192461114;4;0.4383248812746392;0.001389953077251649
0.001258925411794167;5;0.4377262512757908;0.0005986299988484101
0.001;5;0.4377262512757908;0.0005986299988484101
0.0007943282347242813;5;0.4377262512757908;0.0005986299988484101
0.0006309573444801936;5;0.4377262512757908;0.0005986299988484101
0.0005011872336272725;6;0.4379841828983381;0.000257931622547336
0.0003981071705534974;6;0.4379841828983381;0.000257931622547336
0.0003162277660168379;6;0.4379841828983381;0.000257931622547336
0.0002511886431509582;7;0.4378730685797564;0.0001111143185817398
0.0001995262314968881;7;0.4378730685797564;0.0001111143185817398
0.0001584893192461114;7;0.4378730685797564;0.0001111143185817398
0.0001258925411794166;7;0.4378730685797564;0.0001111143185817398
0.0001;8;0.4379209393330622;4.787075330581203e-05
7.943282347242822e-05;8;0.4379209393330622;4.787075330581203e-05
6.309573444801929e-05;8;0.4379209393330622;4.787075330581203e-05
5.011872336272725e-05;8;0.4379209393330622;4.787075330581203e-05
3.981071705534969e-05;9;0.4379003161587501;2.062317431206218e-05
3.16227766016838e-05;9;0.4379003161587501;2.062317431206218e-05
2.511886431509582e-05;9;0.4379003161587501;2.062317431206218e-05
1.995262314968883e-05;10;0.4379092009498268;8.884791076635423e-06
1.584893192461114e-05;10;0.4379092009498268;8.884791076635423e-06
1.258925411794166e-05;10;0.4379092009498268;8.884791076635423e-06
1e-05;10;0.4379092009498268;8.884791076635423e-06
7.943282347242822e-06;11;0.4379053732652163;3.827684610491211e-06
6.30957344480193e-06;11;0.4379053732652163;3.827684610491211e-06
5.011872336272725e-06;11;0.4379053732652163;3.827684610491211e-06
3.981071705534978e-06;11;0.4379053732652163;3.827684610491211e-06
3.162277660168379e-06;12;0.4379070222865355;1.649021319216626e-06
2.511886431509582e-06;12;0.4379070222865355;1.649021319216626e-06
1.995262314968879e-06;12;0.4379070222865355;1.649021319216626e-06
1.584893192461114e-06;13;0.4379063118653918;7.104211437458652e-07
1.258925411794169e-06;13;0.4379063118653918;7.104211437458652e-07
1e-06;13;0.4379063118653918;7.104211437458652e-07
7.943282347242822e-07;13;0.4379063118653918;7.104211437458652e-07
6.309573444801942e-07;14;0.4379066179247823;3.060593905535036e-07
5.011872336272725e-07;14;0.4379066179247823;3.060593905535036e-07
3.981071705534977e-07;14;0.4379066179247823;3.060593905535036e-07
3.162277660168379e-07;14;0.4379066179247823;3.060593905535036e-07
2.511886431509582e-07;15;0.4379064860701343;1.31854648033336e-07
1.995262314968883e-07;15;0.4379064860701343;1.31854648033336e-07
1.584893192461111e-07;15;0.4379064860701343;1.31854648033336e-07
1.258925411794166e-07;16;0.4379065428749584;5.680482412229182e-08
1e-07;16;0.4379065428749584;5.680482412229182e-08
7.943282347242805e-08;16;0.4379065428749584;5.680482412229182e-08
6.30957344480193e-08;16;0.4379065428749584;5.680482412229182e-08
5.011872336272725e-08;17;0.4379065184026477;2.447231067792544e-08
3.981071705534969e-08;17;0.4379065184026477;2.447231067792544e-08
3.162277660168379e-08;17;0.4379065184026477;2.447231067792544e-08
2.511886431509582e-08;17;0.4379065184026477;2.447231067792544e-08
1.995262314968879e-08;18;0.4379065289456608;1.054301307368277e-08
1.584893192461114e-08;18;0.4379065289456608;1.054301307368277e-08
1.258925411794166e-08;18;0.4379065289456608;1.054301307368277e-08
1e-08;19;0.4379065244035836;4.542077214342299e-09
7.943282347242822e-09;19;0.4379065244035836;4.542077214342299e-09
6.309573444801943e-09;19;0.4379065244035836;4.542077214342299e-09
5.011872336272715e-09;19;0.4379065244035836;4.542077214342299e-09
3.981071705534986e-09;20;0.4379065263603739;1.956790285362331e-09
3.16227766016838e-09;20;0.4379065263603739;1.956790285362331e-09
2.511886431509582e-09;20;0.4379065263603739;1.956790285362331e-09
1.995262314968883e-09;20;0.4379065263603739;1.956790285362331e-09
1.584893192461111e-09;21;0.4379065255173613;8.430126041680808e-10
1.258925411794166e-09;21;0.4379065255173613;8.430126041680808e-10
1e-09;21;0.4379065255173613;8.430126041680808e-10
7.943282347242822e-10;22;0.4379065258805429;3.631816514193531e-10
6.309573444801942e-10;22;0.4379065258805429;3.631816514193531e-10
5.011872336272714e-10;22;0.4379065258805429;3.631816514193531e-10
3.981071705534969e-10;22;0.4379065258805429;3.631816514193531e-10
3.16227766016838e-10;23;0.4379065257240791;1.564637863715745e-10
2.511886431509582e-10;23;0.4379065257240791;1.564637863715745e-10
1.995262314968883e-10;23;0.4379065257240791;1.564637863715745e-10
1.584893192461117e-10;23;0.4379065257240791;1.564637863715745e-10
1.258925411794166e-10;24;0.437906525791486;6.740685787320899e-11
1e-10;24;0.437906525791486;6.740685787320899e-11
